pop.,store,season,GRP,weighted,delivery,daily,cost,Active
165183,0,1.01,299.9,30,30,0.9677419355,150,55
348716,0,1.01,311.5,97,98,3.1290322581,140,46
520662,0,1.01,283.6,60,61,1.935483871,140,52
612091,0,1.01,187.6,54,55,1.7419354839,150,55
210055,0,1.01,187.6,17,17,0.5483870968,150,55
75419,0,1.01,246.4,8,8,0.2580645161,190,55
214397,0,1.01,290.4,23,23,0.7419354839,190,55
246348,0,1.01,375.5,9,9,0.2903225806,190,55
415640,0,1.01,196.3,57,58,1.8387096774,250,52
592069,0,1.01,332.4,63,64,2.0322580645,190,55
311635,0,1.01,180,2,2,0.064516129,150,52
348256,0,1.01,232.6,44,44,1.4193548387,130,52
1021244,0,1.01,279,74,75,2.3870967742,140,52
170621,0,1.01,235.7,3,3,0.0967741935,140,52
314436,0,1.01,279,13,13,0.4193548387,140,52
301642,0,1.01,325.8,50,50,1.6129032258,130,46
80013,0,1.01,403.4,6,6,0.1935483871,140,46
56928,0,1.01,184,9,9,0.2903225806,150,55
70133,0,1.01,376.7,1,1,0.0322580645,130,52
409277,0,1.01,145.2,57,58,1.8387096774,250,52
628116,0,1.01,291.3,80,81,2.5806451613,140,51
248688,0,1.01,209.5,18,18,0.5806451613,140,51
587225,0,1.01,375.5,88,89,2.8387096774,190,55
431491,0,1.01,317,25,25,0.8064516129,140,46
325185,0,1.01,322.5,71,72,2.2903225806,250,52
532884,0,1.01,273.8,83,84,2.6774193548,150,55
473668,0,1.01,191.4,20,20,0.6451612903,140,52
80584,0,1.01,376.7,7,7,0.2258064516,130,52
263906,0,1.01,410.2,30,30,0.9677419355,350,55
268617,0,1.01,223.2,35,35,1.1290322581,130,52
973891,0,1.01,498.4,75,76,2.4193548387,150,55
333640,0,1.01,193.4,38,38,1.2258064516,150,50
414595,0,1.01,266,44,44,1.4193548387,150,52
109906,0,1.01,149.3,7,7,0.2258064516,150,55
508124,0,1.01,341.5,60,61,1.935483871,130,52
408401,0,1.01,284.2,22,22,0.7096774194,150,50
577990,0,1.01,180.8,25,25,0.8064516129,150,52
307664,0,1.01,416.7,200,202,6.4516129032,140,46
513242,0,1.01,434.5,26,26,0.8387096774,140,51
240095,0,1.01,137.4,15,15,0.4838709677,150,52
159695,0,1.01,332.4,13,13,0.4193548387,190,55
61746,0,1.01,690.6,10,10,0.3225806452,380,55
251860,0,1.01,1761.2,29,29,0.935483871,150,50
361883,0,1.01,384.2,14,14,0.4516129032,150,50
547885,0,1.01,273.8,52,53,1.6774193548,150,55
241788,0,1.01,330.1,26,26,0.8387096774,250,52
104144,0,1.01,2985.3,27,27,0.8709677419,150,50
